1738983319400,[ 33923][I][app_httpd.cpp:342] cmd_handler(): framesize = 2
1738983320540,[ 35063][I][app_httpd.cpp:104] enable_led(): Set LED intensity to 0
1738983320554,[ 35071][I][app_httpd.cpp:291] stream_handler(): MJPG: 1970B 29978ms (0.03fps), AVG: 1520ms (0.66fps), Temperature: 58.89
1738983320570,[ 35086][I][app_httpd.cpp:291] stream_handler(): MJPG: 2084B 15ms (66.67fps), AVG: 1520ms (0.66fps), Temperature: 58.89
1738983320589,[ 35106][I][app_httpd.cpp:291] stream_handler(): MJPG: 1959B 19ms (52.63fps), AVG: 1520ms (0.66fps), Temperature: 58.89
1738983320609,[ 35126][I][app_httpd.cpp:291] stream_handler(): MJPG: 1959B 19ms (52.63fps), AVG: 1520ms (0.66fps), Temperature: 58.89
1738983320629,[ 35146][I][app_httpd.cpp:291] stream_handler(): MJPG: 1959B 19ms (52.63fps), AVG: 1520ms (0.66fps), Temperature: 58.89
1738983320649,[ 35166][I][app_httpd.cpp:291] stream_handler(): MJPG: 1959B 19ms (52.63fps), AVG: 1520ms (0.66fps), Temperature: 58.89
1738983320669,[ 35186][I][app_httpd.cpp:291] stream_handler(): MJPG: 1959B 19ms (52.63fps), AVG: 1520ms (0.66fps), Temperature: 58.89
1738983320689,[ 35206][I][app_httpd.cpp:291] stream_handler(): MJPG: 1959B 20ms (50.00fps), AVG: 1520ms (0.66fps), Temperature: 58.89
1738983320709,[ 35226][I][app_httpd.cpp:291] stream_handler(): MJPG: 1951B 20ms (50.00fps), AVG: 1520ms (0.66fps), Temperature: 58.89
1738983320728,[ 35246][I][app_httpd.cpp:291] stream_handler(): MJPG: 1951B 19ms (52.63fps), AVG: 1520ms (0.66fps), Temperature: 58.89
1738983320748,[ 35266][I][app_httpd.cpp:291] stream_handler(): MJPG: 1988B 20ms (50.00fps), AVG: 1520ms (0.66fps), Temperature: 58.89
1738983320768,[ 35285][I][app_httpd.cpp:291] stream_handler(): MJPG: 1988B 19ms (52.63fps), AVG: 1520ms (0.66fps), Temperature: 58.89
1738983320789,[ 35306][I][app_httpd.cpp:291] stream_handler(): MJPG: 1988B 20ms (50.00fps), AVG: 1520ms (0.66fps), Temperature: 58.89
1738983320808,[ 35325][I][app_httpd.cpp:291] stream_handler(): MJPG: 1988B 19ms (52.63fps), AVG: 1520ms (0.66fps), Temperature: 58.89
