1738380144011,[178851][I][app_httpd.cpp:342] cmd_handler(): framesize = 9
1738380146041,[180881][I][app_httpd.cpp:104] enable_led(): Set LED intensity to 0
1738380146096,[180931][I][app_httpd.cpp:291] stream_handler(): MJPG: 9356B 49ms (20.41fps), AVG: 49ms (20.41fps), Temperature: 65.00
1738380146124,[180959][I][app_httpd.cpp:291] stream_handler(): MJPG: 9473B 28ms (35.71fps), AVG: 38ms (26.32fps), Temperature: 65.00
1738380146164,[180999][I][app_httpd.cpp:291] stream_handler(): MJPG: 9801B 40ms (25.00fps), AVG: 39ms (25.64fps), Temperature: 65.56
1738380146210,[181045][I][app_httpd.cpp:291] stream_handler(): MJPG: 9458B 45ms (22.22fps), AVG: 40ms (25.00fps), Temperature: 65.56
1738380146249,[181084][I][app_httpd.cpp:291] stream_handler(): MJPG: 9747B 39ms (25.64fps), AVG: 40ms (25.00fps), Temperature: 65.56
1738380146288,[181123][I][app_httpd.cpp:291] stream_handler(): MJPG: 9542B 38ms (26.32fps), AVG: 39ms (25.64fps), Temperature: 65.56
1738380146349,[181184][I][app_httpd.cpp:291] stream_handler(): MJPG: 9623B 61ms (16.39fps), AVG: 42ms (23.81fps), Temperature: 65.00
1738380146377,[181212][I][app_httpd.cpp:291] stream_handler(): MJPG: 9759B 27ms (37.04fps), AVG: 40ms (25.00fps), Temperature: 65.56
1738380146445,[181280][I][app_httpd.cpp:291] stream_handler(): MJPG: 9402B 68ms (14.71fps), AVG: 43ms (23.26fps), Temperature: 65.56
1738380146488,[181323][I][app_httpd.cpp:291] stream_handler(): MJPG: 9551B 43ms (23.26fps), AVG: 43ms (23.26fps), Temperature: 65.56
1738380146545,[181379][I][app_httpd.cpp:291] stream_handler(): MJPG: 9637B 56ms (17.86fps), AVG: 44ms (22.73fps), Temperature: 65.56
1738380146581,[181415][I][app_httpd.cpp:291] stream_handler(): MJPG: 9672B 35ms (28.57fps), AVG: 44ms (22.73fps), Temperature: 65.56
1738380146624,[181459][I][app_httpd.cpp:291] stream_handler(): MJPG: 9646B 43ms (23.26fps), AVG: 44ms (22.73fps), Temperature: 65.56
1738380146670,[181505][I][app_httpd.cpp:291] stream_handler(): MJPG: 9859B 46ms (21.74fps), AVG: 44ms (22.73fps), Temperature: 65.56
1738380146709,[181544][I][app_httpd.cpp:291] stream_handler(): MJPG: 9584B 38ms (26.32fps), AVG: 43ms (23.26fps), Temperature: 65.56
1738380146772,[181607][I][app_httpd.cpp:291] stream_handler(): MJPG: 9543B 63ms (15.87fps), AVG: 44ms (22.73fps), Temperature: 65.56
1738380146810,[181644][I][app_httpd.cpp:291] stream_handler(): MJPG: 9656B 37ms (27.03fps), AVG: 44ms (22.73fps), Temperature: 65.56
1738380146845,[181680][I][app_httpd.cpp:291] stream_handler(): MJPG: 9656B 35ms (28.57fps), AVG: 43ms (23.26fps), Temperature: 65.00
1738380146884,[181719][I][app_httpd.cpp:291] stream_handler(): MJPG: 9672B 39ms (25.64fps), AVG: 43ms (23.26fps), Temperature: 65.56
1738380146926,[181762][I][app_httpd.cpp:291] stream_handler(): MJPG: 9598B 42ms (23.81fps), AVG: 43ms (23.26fps), Temperature: 65.56
1738380146966,[181800][I][app_httpd.cpp:291] stream_handler(): MJPG: 9788B 38ms (26.32fps), AVG: 43ms (23.26fps), Temperature: 65.56
1738380147014,[181849][I][app_httpd.cpp:291] stream_handler(): MJPG: 9864B 48ms (20.83fps), AVG: 44ms (22.73fps), Temperature: 65.56
1738380147074,[181909][I][app_httpd.cpp:291] stream_handler(): MJPG: 10355B 60ms (16.67fps), AVG: 45ms (22.22fps), Temperature: 65.56
1738380147132,[181967][I][app_httpd.cpp:291] stream_handler(): MJPG: 9701B 57ms (17.54fps), AVG: 45ms (22.22fps), Temperature: 65.56
1738380147184,[182019][I][app_httpd.cpp:291] stream_handler(): MJPG: 9754B 52ms (19.23fps), AVG: 46ms (21.74fps), Temperature: 65.56
1738380147237,[182071][I][app_httpd.cpp:291] stream_handler(): MJPG: 10326B 52ms (19.23fps), AVG: 47ms (21.28fps), Temperature: 65.56
1738380147289,[182123][I][app_httpd.cpp:291] stream_handler(): MJPG: 10036B 51ms (19.61fps), AVG: 46ms (21.74fps), Temperature: 66.11
1738380147331,[182165][I][app_httpd.cpp:291] stream_handler(): MJPG: 9753B 42ms (23.81fps), AVG: 47ms (21.28fps), Temperature: 65.56
1738380147373,[182208][I][app_httpd.cpp:291] stream_handler(): MJPG: 9756B 42ms (23.81fps), AVG: 45ms (22.22fps), Temperature: 65.56
1738380147409,[182244][I][app_httpd.cpp:291] stream_handler(): MJPG: 9797B 36ms (27.78fps), AVG: 45ms (22.22fps), Temperature: 65.56
1738380147448,[182283][I][app_httpd.cpp:291] stream_handler(): MJPG: 9713B 38ms (26.32fps), AVG: 44ms (22.73fps), Temperature: 65.56
1738380147484,[182319][I][app_httpd.cpp:291] stream_handler(): MJPG: 9835B 35ms (28.57fps), AVG: 44ms (22.73fps), Temperature: 65.56
