Runtime,Bytes Transmitted,Instant Frame Time (ms),Instant FPS,Avg Frame Time (ms),Avg FPS,Temperature (C),Framesize,Voltage
44765,65548,21706,0.05,3899,0.26,60.56,1280x1024,Unknown
45182,68519,416,2.40,3402,0.29,60.56,1280x1024,Unknown
45633,67077,451,2.22,3033,0.33,60.56,1280x1024,Unknown
46029,65837,396,2.53,2740,0.36,60.56,1280x1024,Unknown
46441,68808,411,2.43,2507,0.40,60.56,1280x1024,Unknown
46773,65718,332,3.01,2309,0.43,60.56,1280x1024,Unknown
47143,65542,369,2.71,2147,0.47,60.56,1280x1024,Unknown
47484,66646,341,2.93,2008,0.50,60.56,1280x1024,Unknown
47791,73689,306,3.27,1887,0.53,61.11,1280x1024,Unknown
48129,66099,338,2.96,1783,0.56,60.56,1280x1024,Unknown
48629,68458,500,2.00,1703,0.59,61.11,1280x1024,Unknown
49025,67391,395,2.53,1626,0.62,61.11,1280x1024,Unknown
49345,66233,319,3.13,1554,0.64,61.11,1280x1024,Unknown
49806,68212,460,2.17,1496,0.67,60.56,1280x1024,Unknown
50257,72068,451,2.22,1444,0.69,61.11,1280x1024,Unknown
50604,69204,347,2.88,1446,0.69,61.11,1280x1024,Unknown
51018,69331,413,2.42,1447,0.69,61.11,1280x1024,Unknown
51305,67154,287,3.48,1445,0.69,61.11,1280x1024,Unknown
51609,68151,303,3.30,1443,0.69,61.11,1280x1024,Unknown
51887,67440,278,3.60,1440,0.69,61.11,1280x1024,Unknown
52205,68337,317,3.15,371,2.70,61.11,1280x1024,Unknown
52505,67682,299,3.34,365,2.74,60.56,1280x1024,Unknown
52865,68559,360,2.78,361,2.77,61.11,1280x1024,Unknown
53192,67664,326,3.07,357,2.80,61.11,1280x1024,Unknown
53552,67159,360,2.78,355,2.82,61.11,1280x1024,Unknown
53832,67115,280,3.57,352,2.84,61.67,1280x1024,Unknown
54233,69507,400,2.50,354,2.82,61.11,1280x1024,Unknown
54549,66708,316,3.16,352,2.84,61.11,1280x1024,Unknown
54978,67491,429,2.33,358,2.79,61.67,1280x1024,Unknown
55401,66461,422,2.37,363,2.75,61.67,1280x1024,Unknown
55796,65712,395,2.53,357,2.80,61.11,1280x1024,Unknown
56105,70314,308,3.25,353,2.83,62.22,1280x1024,Unknown
56514,68774,409,2.44,358,2.79,61.67,1280x1024,Unknown
57211,69562,697,1.43,369,2.71,61.67,1280x1024,Unknown
57640,69089,428,2.34,368,2.72,61.67,1280x1024,Unknown
58049,68083,408,2.45,371,2.70,61.67,1280x1024,Unknown
58372,65916,323,3.10,367,2.72,61.67,1280x1024,Unknown
58734,68763,361,2.77,370,2.70,61.67,1280x1024,Unknown
59137,68325,403,2.48,375,2.67,61.67,1280x1024,Unknown
59453,66084,315,3.17,377,2.65,62.22,1280x1024,Unknown
59836,66592,383,2.61,381,2.62,62.22,1280x1024,Unknown
60213,67811,376,2.66,384,2.60,62.22,1280x1024,Unknown
60745,69764,532,1.88,393,2.54,61.67,1280x1024,Unknown
61125,65907,379,2.64,396,2.53,62.22,1280x1024,Unknown
61428,66974,303,3.30,393,2.54,62.22,1280x1024,Unknown
61785,66358,356,2.81,397,2.52,62.22,1280x1024,Unknown
62078,67151,292,3.42,391,2.56,62.22,1280x1024,Unknown
62376,65750,298,3.36,390,2.56,62.22,1280x1024,Unknown
62744,69705,368,2.72,387,2.58,62.22,1280x1024,Unknown
63081,70805,336,2.98,383,2.61,62.22,1280x1024,Unknown
63432,73185,350,2.86,381,2.62,62.22,1280x1024,Unknown
63766,68694,333,3.00,382,2.62,62.22,1280x1024,Unknown
64084,66807,318,3.14,377,2.65,62.22,1280x1024,Unknown
64455,66092,370,2.70,361,2.77,62.78,1280x1024,Unknown
64705,66646,250,4.00,352,2.84,62.78,1280x1024,Unknown
65070,66045,364,2.75,350,2.86,62.22,1280x1024,Unknown
65345,66529,274,3.65,348,2.87,62.22,1280x1024,Unknown
65729,68593,383,2.61,349,2.87,62.78,1280x1024,Unknown
65997,68766,267,3.75,342,2.92,62.22,1280x1024,Unknown
66356,68316,359,2.79,344,2.91,62.78,1280x1024,Unknown
66812,66166,455,2.20,348,2.87,62.22,1280x1024,Unknown
67172,75735,360,2.78,347,2.88,62.78,1280x1024,Unknown
67464,67508,291,3.44,335,2.99,62.78,1280x1024,Unknown
67834,68213,370,2.70,334,2.99,62.78,1280x1024,Unknown
68261,66662,426,2.35,341,2.93,62.78,1280x1024,Unknown
68552,65708,291,3.44,337,2.97,62.78,1280x1024,Unknown
68888,70726,335,2.99,339,2.95,62.78,1280x1024,Unknown
69180,68224,292,3.42,339,2.95,62.78,1280x1024,Unknown
69509,67361,328,3.05,337,2.97,62.78,1280x1024,Unknown
69869,79789,359,2.79,338,2.96,62.78,1280x1024,Unknown
70347,69090,478,2.09,345,2.90,62.78,1280x1024,Unknown
70733,67098,385,2.60,347,2.88,62.78,1280x1024,Unknown
71129,71925,396,2.53,351,2.85,62.78,1280x1024,Unknown
71547,71487,418,2.39,354,2.82,62.78,1280x1024,Unknown
71948,67148,401,2.49,361,2.77,62.78,1280x1024,Unknown
72268,69938,320,3.12,359,2.79,62.78,1280x1024,Unknown
72692,68749,423,2.36,366,2.73,62.78,1280x1024,Unknown
73053,68492,360,2.78,365,2.74,63.33,1280x1024,Unknown
73396,67777,343,2.92,369,2.71,62.78,1280x1024,Unknown
73751,72896,354,2.82,369,2.71,63.33,1280x1024,Unknown
74220,70493,469,2.13,369,2.71,63.33,1280x1024,Unknown
74565,66286,344,2.91,369,2.71,63.33,1280x1024,Unknown
74932,71940,366,2.73,372,2.69,63.33,1280x1024,Unknown
75332,70393,400,2.50,374,2.67,63.33,1280x1024,Unknown
75760,69746,427,2.34,374,2.67,63.33,1280x1024,Unknown
76137,67458,377,2.65,378,2.65,63.33,1280x1024,Unknown
76541,66859,403,2.48,382,2.62,63.33,1280x1024,Unknown
76876,72060,335,2.99,384,2.60,63.33,1280x1024,Unknown
77335,71638,459,2.18,390,2.56,63.33,1280x1024,Unknown
77735,69325,399,2.51,392,2.55,63.89,1280x1024,Unknown
78042,68665,307,3.26,384,2.60,63.89,1280x1024,Unknown
78700,67420,657,1.52,397,2.52,63.89,1280x1024,Unknown
79007,68125,307,3.26,393,2.54,63.89,1280x1024,Unknown
79419,73990,411,2.43,393,2.54,63.89,1280x1024,Unknown
79767,69626,347,2.88,390,2.56,63.89,1280x1024,Unknown
80092,66986,324,3.09,390,2.56,63.89,1280x1024,Unknown
80528,72791,435,2.30,391,2.56,63.33,1280x1024,Unknown
