[ 15051][I][app_httpd.cpp:104] enable_led(): Set LED intensity to 0
[ 15069][I][app_httpd.cpp:291] stream_handler(): MJPG: 7976B 5193ms (0.19fps), AVG: 286ms (3.50fps), Temperature: 57.22
[ 15093][I][app_httpd.cpp:291] stream_handler(): MJPG: 7976B 23ms (43.48fps), AVG: 286ms (3.50fps), Temperature: 57.22
[ 15136][I][app_httpd.cpp:291] stream_handler(): MJPG: 10154B 43ms (23.26fps), AVG: 287ms (3.48fps), Temperature: 57.78
[ 15167][I][app_httpd.cpp:291] stream_handler(): MJPG: 9584B 30ms (33.33fps), AVG: 287ms (3.48fps), Temperature: 57.22
[ 15190][I][app_httpd.cpp:291] stream_handler(): MJPG: 7072B 23ms (43.48fps), AVG: 287ms (3.48fps), Temperature: 57.78
[ 15226][I][app_httpd.cpp:291] stream_handler(): MJPG: 8300B 35ms (28.57fps), AVG: 287ms (3.48fps), Temperature: 57.22
[ 15257][I][app_httpd.cpp:291] stream_handler(): MJPG: 6891B 31ms (32.26fps), AVG: 287ms (3.48fps), Temperature: 57.22
[ 15287][I][app_httpd.cpp:291] stream_handler(): MJPG: 8249B 29ms (34.48fps), AVG: 287ms (3.48fps), Temperature: 57.78
[ 15317][I][app_httpd.cpp:291] stream_handler(): MJPG: 7743B 29ms (34.48fps), AVG: 287ms (3.48fps), Temperature: 57.78
[ 15338][I][app_httpd.cpp:291] stream_handler(): MJPG: 7743B 21ms (47.62fps), AVG: 286ms (3.50fps), Temperature: 57.22
[ 15371][I][app_httpd.cpp:291] stream_handler(): MJPG: 7743B 32ms (31.25fps), AVG: 287ms (3.48fps), Temperature: 57.78
[ 15394][I][app_httpd.cpp:291] stream_handler(): MJPG: 8646B 23ms (43.48fps), AVG: 286ms (3.50fps), Temperature: 57.22
[ 15452][I][app_httpd.cpp:291] stream_handler(): MJPG: 7998B 57ms (17.54fps), AVG: 288ms (3.47fps), Temperature: 57.22
[ 16556][I][app_httpd.cpp:291] stream_handler(): MJPG: 8461B 1104ms (0.91fps), AVG: 342ms (2.92fps), Temperature: 57.78
[ 16581][I][app_httpd.cpp:291] stream_handler(): MJPG: 7730B 25ms (40.00fps), AVG: 342ms (2.92fps), Temperature: 57.78
[ 16616][I][app_httpd.cpp:291] stream_handler(): MJPG: 7730B 34ms (29.41fps), AVG: 343ms (2.92fps), Temperature: 57.78
[ 16640][I][app_httpd.cpp:291] stream_handler(): MJPG: 8690B 23ms (43.48fps), AVG: 342ms (2.92fps), Temperature: 57.22
[ 16665][I][app_httpd.cpp:291] stream_handler(): MJPG: 8178B 25ms (40.00fps), AVG: 342ms (2.92fps), Temperature: 57.78
