[  6947][I][app_httpd.cpp:104] enable_led(): Set LED intensity to 0
[  6964][I][app_httpd.cpp:291] stream_handler(): MJPG: 6767B 17ms (58.82fps), AVG: 17ms (58.82fps), Temperature: 56.11
[  6991][I][app_httpd.cpp:291] stream_handler(): MJPG: 7448B 26ms (38.46fps), AVG: 21ms (47.62fps), Temperature: 56.11
[  7018][I][app_httpd.cpp:291] stream_handler(): MJPG: 8309B 26ms (38.46fps), AVG: 23ms (43.48fps), Temperature: 56.11
[  7041][I][app_httpd.cpp:291] stream_handler(): MJPG: 7780B 23ms (43.48fps), AVG: 23ms (43.48fps), Temperature: 57.78
[  7074][I][app_httpd.cpp:291] stream_handler(): MJPG: 8541B 33ms (30.30fps), AVG: 25ms (40.00fps), Temperature: 55.56
[  7102][I][app_httpd.cpp:291] stream_handler(): MJPG: 8355B 28ms (35.71fps), AVG: 25ms (40.00fps), Temperature: 56.11
[  7137][I][app_httpd.cpp:291] stream_handler(): MJPG: 7743B 35ms (28.57fps), AVG: 26ms (38.46fps), Temperature: 56.11
[  7162][I][app_httpd.cpp:291] stream_handler(): MJPG: 7852B 24ms (41.67fps), AVG: 26ms (38.46fps), Temperature: 56.11
[  7188][I][app_httpd.cpp:291] stream_handler(): MJPG: 7852B 25ms (40.00fps), AVG: 26ms (38.46fps), Temperature: 56.11
[  7210][I][app_httpd.cpp:291] stream_handler(): MJPG: 8358B 22ms (45.45fps), AVG: 25ms (40.00fps), Temperature: 56.11
[  7240][I][app_httpd.cpp:291] stream_handler(): MJPG: 7918B 29ms (34.48fps), AVG: 26ms (38.46fps), Temperature: 56.11
[  7265][I][app_httpd.cpp:291] stream_handler(): MJPG: 8568B 25ms (40.00fps), AVG: 26ms (38.46fps), Temperature: 56.11
[  7292][I][app_httpd.cpp:291] stream_handler(): MJPG: 7940B 26ms (38.46fps), AVG: 26ms (38.46fps), Temperature: 56.11
[  7314][I][app_httpd.cpp:291] stream_handler(): MJPG: 8127B 22ms (45.45fps), AVG: 25ms (40.00fps), Temperature: 56.11
[  7345][I][app_httpd.cpp:291] stream_handler(): MJPG: 8127B 31ms (32.26fps), AVG: 26ms (38.46fps), Temperature: 56.11
[  7368][I][app_httpd.cpp:291] stream_handler(): MJPG: 8127B 22ms (45.45fps), AVG: 25ms (40.00fps), Temperature: 56.11
[  7395][I][app_httpd.cpp:291] stream_handler(): MJPG: 8127B 26ms (38.46fps), AVG: 25ms (40.00fps), Temperature: 56.11
[  7420][I][app_httpd.cpp:291] stream_handler(): MJPG: 8813B 25ms (40.00fps), AVG: 25ms (40.00fps), Temperature: 56.11
[  7444][I][app_httpd.cpp:291] stream_handler(): MJPG: 8439B 23ms (43.48fps), AVG: 25ms (40.00fps), Temperature: 56.11
[  7466][I][app_httpd.cpp:291] stream_handler(): MJPG: 8438B 22ms (45.45fps), AVG: 25ms (40.00fps), Temperature: 57.78
[  7494][I][app_httpd.cpp:291] stream_handler(): MJPG: 8793B 27ms (37.04fps), AVG: 26ms (38.46fps), Temperature: 56.11
[  7518][I][app_httpd.cpp:291] stream_handler(): MJPG: 7428B 24ms (41.67fps), AVG: 25ms (40.00fps), Temperature: 56.11
[  7553][I][app_httpd.cpp:291] stream_handler(): MJPG: 8061B 34ms (29.41fps), AVG: 26ms (38.46fps), Temperature: 55.00
[  7579][I][app_httpd.cpp:291] stream_handler(): MJPG: 8342B 26ms (38.46fps), AVG: 26ms (38.46fps), Temperature: 56.11
[  7612][I][app_httpd.cpp:291] stream_handler(): MJPG: 8083B 33ms (30.30fps), AVG: 26ms (38.46fps), Temperature: 56.67
[  7644][I][app_httpd.cpp:291] stream_handler(): MJPG: 8815B 32ms (31.25fps), AVG: 26ms (38.46fps), Temperature: 56.67
[  7671][I][app_httpd.cpp:291] stream_handler(): MJPG: 7528B 26ms (38.46fps), AVG: 26ms (38.46fps), Temperature: 56.67
[  7700][I][app_httpd.cpp:291] stream_handler(): MJPG: 7528B 29ms (34.48fps), AVG: 26ms (38.46fps), Temperature: 56.11
[  7723][I][app_httpd.cpp:291] stream_handler(): MJPG: 7570B 22ms (45.45fps), AVG: 26ms (38.46fps), Temperature: 57.22
[  7750][I][app_httpd.cpp:291] stream_handler(): MJPG: 7954B 27ms (37.04fps), AVG: 26ms (38.46fps), Temperature: 56.67
[  7777][I][app_httpd.cpp:291] stream_handler(): MJPG: 8539B 27ms (37.04fps), AVG: 26ms (38.46fps), Temperature: 56.67
[  7807][I][app_httpd.cpp:291] stream_handler(): MJPG: 9174B 29ms (34.48fps), AVG: 26ms (38.46fps), Temperature: 56.11
[  7830][I][app_httpd.cpp:291] stream_handler(): MJPG: 8600B 23ms (43.48fps), AVG: 26ms (38.46fps), Temperature: 56.11
[  7857][I][app_httpd.cpp:291] stream_handler(): MJPG: 7574B 27ms (37.04fps), AVG: 26ms (38.46fps), Temperature: 56.11
[  7883][I][app_httpd.cpp:291] stream_handler(): MJPG: 8613B 25ms (40.00fps), AVG: 26ms (38.46fps), Temperature: 56.67
[  7906][I][app_httpd.cpp:291] stream_handler(): MJPG: 7442B 23ms (43.48fps), AVG: 26ms (38.46fps), Temperature: 56.67
[  7933][I][app_httpd.cpp:291] stream_handler(): MJPG: 8199B 26ms (38.46fps), AVG: 26ms (38.46fps), Temperature: 56.67
[  7963][I][app_httpd.cpp:291] stream_handler(): MJPG: 7580B 30ms (33.33fps), AVG: 26ms (38.46fps), Temperature: 56.67
[  7986][I][app_httpd.cpp:291] stream_handler(): MJPG: 7580B 23ms (43.48fps), AVG: 26ms (38.46fps), Temperature: 56.67
[  8009][I][app_httpd.cpp:291] stream_handler(): MJPG: 8018B 23ms (43.48fps), AVG: 26ms (38.46fps), Temperature: 56.67
[  8039][I][app_httpd.cpp:291] stream_handler(): MJPG: 8304B 29ms (34.48fps), AVG: 26ms (38.46fps), Temperature: 56.67
[  8068][I][app_httpd.cpp:291] stream_handler(): MJPG: 9053B 29ms (34.48fps), AVG: 27ms (37.04fps), Temperature: 56.67
[  8090][I][app_httpd.cpp:291] stream_handler(): MJPG: 7680B 22ms (45.45fps), AVG: 26ms (38.46fps), Temperature: 56.67
[  8114][I][app_httpd.cpp:291] stream_handler(): MJPG: 7765B 23ms (43.48fps), AVG: 26ms (38.46fps), Temperature: 56.11
[  8136][I][app_httpd.cpp:291] stream_handler(): MJPG: 8813B 22ms (45.45fps), AVG: 25ms (40.00fps), Temperature: 56.11
[  8167][I][app_httpd.cpp:291] stream_handler(): MJPG: 7916B 30ms (33.33fps), AVG: 25ms (40.00fps), Temperature: 56.67
[  8191][I][app_httpd.cpp:291] stream_handler(): MJPG: 8560B 24ms (41.67fps), AVG: 25ms (40.00fps), Temperature: 56.67
[  8221][I][app_httpd.cpp:291] stream_handler(): MJPG: 7994B 29ms (34.48fps), AVG: 25ms (40.00fps), Temperature: 56.67
[  8250][I][app_httpd.cpp:291] stream_handler(): MJPG: 9349B 28ms (35.71fps), AVG: 25ms (40.00fps), Temperature: 56.67
[  8276][I][app_httpd.cpp:291] stream_handler(): MJPG: 7854B 26ms (38.46fps), AVG: 25ms (40.00fps), Temperature: 56.67
[  8310][I][app_httpd.cpp:291] stream_handler(): MJPG: 7854B 33ms (30.30fps), AVG: 26ms (38.46fps), Temperature: 56.11
[  8338][I][app_httpd.cpp:291] stream_handler(): MJPG: 7854B 28ms (35.71fps), AVG: 26ms (38.46fps), Temperature: 56.67
[  8369][I][app_httpd.cpp:291] stream_handler(): MJPG: 7854B 31ms (32.26fps), AVG: 26ms (38.46fps), Temperature: 56.67
[  8391][I][app_httpd.cpp:291] stream_handler(): MJPG: 7854B 21ms (47.62fps), AVG: 26ms (38.46fps), Temperature: 56.67
[  8419][I][app_httpd.cpp:291] stream_handler(): MJPG: 7883B 27ms (37.04fps), AVG: 26ms (38.46fps), Temperature: 56.67
[  8469][I][app_httpd.cpp:291] stream_handler(): MJPG: 8690B 50ms (20.00fps), AVG: 27ms (37.04fps), Temperature: 56.67
[  8499][I][app_httpd.cpp:291] stream_handler(): MJPG: 8732B 29ms (34.48fps), AVG: 27ms (37.04fps), Temperature: 56.67
[  8522][I][app_httpd.cpp:291] stream_handler(): MJPG: 7374B 22ms (45.45fps), AVG: 27ms (37.04fps), Temperature: 56.67
[  8546][I][app_httpd.cpp:291] stream_handler(): MJPG: 8073B 24ms (41.67fps), AVG: 27ms (37.04fps), Temperature: 56.67
[  8574][I][app_httpd.cpp:291] stream_handler(): MJPG: 8073B 27ms (37.04fps), AVG: 27ms (37.04fps), Temperature: 56.67
[  8600][I][app_httpd.cpp:291] stream_handler(): MJPG: 8276B 26ms (38.46fps), AVG: 27ms (37.04fps), Temperature: 56.67
[  8625][I][app_httpd.cpp:291] stream_handler(): MJPG: 7478B 24ms (41.67fps), AVG: 27ms (37.04fps), Temperature: 57.22
[  8649][I][app_httpd.cpp:291] stream_handler(): MJPG: 8047B 23ms (43.48fps), AVG: 27ms (37.04fps), Temperature: 56.67
[  8676][I][app_httpd.cpp:291] stream_handler(): MJPG: 8751B 27ms (37.04fps), AVG: 27ms (37.04fps), Temperature: 56.67
[  8705][I][app_httpd.cpp:291] stream_handler(): MJPG: 7964B 28ms (35.71fps), AVG: 27ms (37.04fps), Temperature: 57.22
[  8730][I][app_httpd.cpp:291] stream_handler(): MJPG: 7964B 25ms (40.00fps), AVG: 27ms (37.04fps), Temperature: 56.67
[  8757][I][app_httpd.cpp:291] stream_handler(): MJPG: 9227B 27ms (37.04fps), AVG: 27ms (37.04fps), Temperature: 56.67
[  8781][I][app_httpd.cpp:291] stream_handler(): MJPG: 8142B 23ms (43.48fps), AVG: 27ms (37.04fps), Temperature: 56.67
