[100825][I][app_httpd.cpp:104] enable_led(): Set LED intensity to 0
[100842][I][app_httpd.cpp:291] stream_handler(): MJPG: 7065B 17ms (58.82fps), AVG: 17ms (58.82fps), Temperature: 61.67
[100867][I][app_httpd.cpp:291] stream_handler(): MJPG: 8145B 24ms (41.67fps), AVG: 20ms (50.00fps), Temperature: 61.67
[100894][I][app_httpd.cpp:291] stream_handler(): MJPG: 6683B 27ms (37.04fps), AVG: 22ms (45.45fps), Temperature: 61.67
[100918][I][app_httpd.cpp:291] stream_handler(): MJPG: 6967B 24ms (41.67fps), AVG: 23ms (43.48fps), Temperature: 61.67
[100940][I][app_httpd.cpp:291] stream_handler(): MJPG: 6967B 21ms (47.62fps), AVG: 22ms (45.45fps), Temperature: 61.67
[100978][I][app_httpd.cpp:291] stream_handler(): MJPG: 6967B 38ms (26.32fps), AVG: 25ms (40.00fps), Temperature: 61.67
[101001][I][app_httpd.cpp:291] stream_handler(): MJPG: 6967B 22ms (45.45fps), AVG: 24ms (41.67fps), Temperature: 62.22
[101022][I][app_httpd.cpp:291] stream_handler(): MJPG: 6967B 21ms (47.62fps), AVG: 24ms (41.67fps), Temperature: 61.67
[101050][I][app_httpd.cpp:291] stream_handler(): MJPG: 8145B 28ms (35.71fps), AVG: 24ms (41.67fps), Temperature: 62.22
[101072][I][app_httpd.cpp:291] stream_handler(): MJPG: 8145B 22ms (45.45fps), AVG: 24ms (41.67fps), Temperature: 61.67
[101091][I][app_httpd.cpp:291] stream_handler(): MJPG: 6779B 18ms (55.56fps), AVG: 23ms (43.48fps), Temperature: 61.67
[101112][I][app_httpd.cpp:291] stream_handler(): MJPG: 7119B 21ms (47.62fps), AVG: 23ms (43.48fps), Temperature: 61.67
[101134][I][app_httpd.cpp:291] stream_handler(): MJPG: 8145B 21ms (47.62fps), AVG: 23ms (43.48fps), Temperature: 61.67
[101156][I][app_httpd.cpp:291] stream_handler(): MJPG: 8145B 21ms (47.62fps), AVG: 23ms (43.48fps), Temperature: 61.67
[101180][I][app_httpd.cpp:291] stream_handler(): MJPG: 8145B 24ms (41.67fps), AVG: 23ms (43.48fps), Temperature: 62.22
