[ 10412][I][app_httpd.cpp:104] enable_led(): Set LED intensity to 0
[ 10429][I][app_httpd.cpp:291] stream_handler(): MJPG: 7083B 16ms (62.50fps), AVG: 16ms (62.50fps), Temperature: 55.00
[ 10453][I][app_httpd.cpp:291] stream_handler(): MJPG: 7143B 24ms (41.67fps), AVG: 20ms (50.00fps), Temperature: 55.00
[ 10477][I][app_httpd.cpp:291] stream_handler(): MJPG: 8170B 24ms (41.67fps), AVG: 21ms (47.62fps), Temperature: 54.44
[ 10500][I][app_httpd.cpp:291] stream_handler(): MJPG: 8170B 23ms (43.48fps), AVG: 21ms (47.62fps), Temperature: 55.00
[ 10528][I][app_httpd.cpp:291] stream_handler(): MJPG: 7149B 27ms (37.04fps), AVG: 22ms (45.45fps), Temperature: 55.00
[ 10554][I][app_httpd.cpp:291] stream_handler(): MJPG: 8170B 25ms (40.00fps), AVG: 23ms (43.48fps), Temperature: 55.00
[ 10579][I][app_httpd.cpp:291] stream_handler(): MJPG: 8170B 25ms (40.00fps), AVG: 23ms (43.48fps), Temperature: 55.00
[ 10601][I][app_httpd.cpp:291] stream_handler(): MJPG: 7116B 21ms (47.62fps), AVG: 23ms (43.48fps), Temperature: 55.00
[ 10626][I][app_httpd.cpp:291] stream_handler(): MJPG: 8170B 24ms (41.67fps), AVG: 23ms (43.48fps), Temperature: 55.56
[ 10657][I][app_httpd.cpp:291] stream_handler(): MJPG: 8170B 31ms (32.26fps), AVG: 24ms (41.67fps), Temperature: 55.56
[ 10686][I][app_httpd.cpp:291] stream_handler(): MJPG: 8170B 28ms (35.71fps), AVG: 24ms (41.67fps), Temperature: 55.00
[ 10708][I][app_httpd.cpp:291] stream_handler(): MJPG: 8170B 21ms (47.62fps), AVG: 24ms (41.67fps), Temperature: 55.00
[ 10734][I][app_httpd.cpp:291] stream_handler(): MJPG: 8170B 25ms (40.00fps), AVG: 24ms (41.67fps), Temperature: 55.00
[ 10759][I][app_httpd.cpp:291] stream_handler(): MJPG: 8496B 25ms (40.00fps), AVG: 24ms (41.67fps), Temperature: 55.00
[ 10785][I][app_httpd.cpp:291] stream_handler(): MJPG: 7749B 25ms (40.00fps), AVG: 24ms (41.67fps), Temperature: 55.00
