Runtime,Bytes Transmitted,Instant Frame Time (ms),Instant FPS,Avg Frame Time (ms),Avg FPS,Temperature (C),Framesize,Voltage
13119,7280,16,62.50,16,62.50,60.56,320x240,2v958
13150,7635,31,32.26,23,43.48,61.11,320x240,2v958
13173,8675,22,45.45,23,43.48,61.11,320x240,2v958
13206,7694,33,30.30,25,40.00,61.11,320x240,2v958
13235,7083,29,34.48,26,38.46,61.11,320x240,2v958
13257,7694,21,47.62,25,40.00,61.11,320x240,2v958
13285,6930,27,37.04,25,40.00,61.11,320x240,2v958
13309,7694,24,41.67,25,40.00,60.56,320x240,2v958
13332,7851,22,45.45,25,40.00,61.11,320x240,2v958
13359,8392,27,37.04,25,40.00,61.11,320x240,2v958
13387,7400,27,37.04,25,40.00,61.11,320x240,2v958
13418,7400,31,32.26,25,40.00,61.11,320x240,2v958
13461,7674,43,23.26,27,37.04,60.56,320x240,2v958
13489,6362,27,37.04,27,37.04,61.11,320x240,2v958
13512,7965,22,45.45,26,38.46,61.67,320x240,2v958
13535,7965,23,43.48,26,38.46,61.67,320x240,2v958
13561,7965,26,38.46,26,38.46,61.11,320x240,2v958
13585,8225,23,43.48,26,38.46,61.11,320x240,2v958
13612,7535,27,37.04,26,38.46,61.11,320x240,2v958
13636,7535,24,41.67,26,38.46,61.11,320x240,2v958
13666,6954,29,34.48,26,38.46,61.11,320x240,2v958
13688,6954,22,45.45,26,38.46,61.11,320x240,2v958
13713,8114,24,41.67,26,38.46,61.11,320x240,2v958
13735,8114,22,45.45,26,38.46,61.11,320x240,2v958
13762,8114,26,38.46,25,40.00,61.67,320x240,2v958
13788,6750,26,38.46,26,38.46,61.67,320x240,2v958
13817,8114,28,35.71,26,38.46,61.11,320x240,2v958
13839,6735,22,45.45,26,38.46,61.11,320x240,2v958
13868,8114,29,34.48,26,38.46,61.11,320x240,2v958
13894,8562,26,38.46,26,38.46,61.67,320x240,2v958
13919,7548,24,41.67,26,38.46,61.11,320x240,2v958
13945,7548,25,40.00,25,40.00,61.11,320x240,2v958
13971,7596,25,40.00,25,40.00,61.11,320x240,2v958
13993,7596,22,45.45,24,41.67,61.67,320x240,2v958
14023,7596,30,33.33,25,40.00,61.11,320x240,2v958
14049,7596,25,40.00,25,40.00,61.11,320x240,2v958
14077,7857,27,37.04,25,40.00,61.11,320x240,2v958
14098,7857,21,47.62,25,40.00,61.11,320x240,2v958
14124,6976,26,38.46,25,40.00,61.11,320x240,2v958
14149,7005,24,41.67,25,40.00,61.11,320x240,2v958
14179,8401,29,34.48,25,40.00,61.11,320x240,2v958
14201,6430,21,47.62,25,40.00,61.67,320x240,2v958
14231,7746,30,33.33,25,40.00,61.11,320x240,2v958
14252,7149,21,47.62,25,40.00,61.67,320x240,2v958
14279,7746,27,37.04,25,40.00,61.11,320x240,2v958
14303,7746,23,43.48,25,40.00,61.11,320x240,2v958
14332,8287,28,35.71,25,40.00,61.67,320x240,2v958
14356,7935,23,43.48,25,40.00,61.67,320x240,2v958
14388,7115,32,31.25,25,40.00,61.11,320x240,2v958
14410,7115,21,47.62,25,40.00,61.67,320x240,2v958
14432,8425,22,45.45,25,40.00,61.11,320x240,2v958
14458,7914,26,38.46,25,40.00,61.11,320x240,2v958
14485,7914,26,38.46,25,40.00,61.11,320x240,2v958
14508,7914,23,43.48,25,40.00,61.11,320x240,2v958
14534,8294,26,38.46,25,40.00,61.11,320x240,2v958
14557,7893,22,45.45,24,41.67,61.11,320x240,2v958
14588,7893,31,32.26,25,40.00,61.11,320x240,2v958
14609,7893,21,47.62,25,40.00,61.11,320x240,2v958
14639,7949,30,33.33,25,40.00,61.11,320x240,2v958
14661,7949,21,47.62,25,40.00,61.11,320x240,2v958
14689,7949,27,37.04,25,40.00,62.22,320x240,2v958
14712,7949,22,45.45,25,40.00,61.11,320x240,2v958
14741,7013,28,35.71,25,40.00,61.11,320x240,2v958
14764,7949,22,45.45,25,40.00,61.11,320x240,2v958
