Runtime,Bytes Transmitted,Instant Frame Time (ms),Instant FPS,Avg Frame Time (ms),Avg FPS,Temperature (C),Framesize,Voltage
10429,7083,16,62.50,16,62.50,55.00,320x240,3v5
10453,7143,24,41.67,20,50.00,55.00,320x240,3v5
10477,8170,24,41.67,21,47.62,54.44,320x240,3v5
10500,8170,23,43.48,21,47.62,55.00,320x240,3v5
10528,7149,27,37.04,22,45.45,55.00,320x240,3v5
10554,8170,25,40.00,23,43.48,55.00,320x240,3v5
10579,8170,25,40.00,23,43.48,55.00,320x240,3v5
10601,7116,21,47.62,23,43.48,55.00,320x240,3v5
10626,8170,24,41.67,23,43.48,55.56,320x240,3v5
10657,8170,31,32.26,24,41.67,55.56,320x240,3v5
10686,8170,28,35.71,24,41.67,55.00,320x240,3v5
10708,8170,21,47.62,24,41.67,55.00,320x240,3v5
10734,8170,25,40.00,24,41.67,55.00,320x240,3v5
10759,8496,25,40.00,24,41.67,55.00,320x240,3v5
10785,7749,25,40.00,24,41.67,55.00,320x240,3v5
10809,7749,24,41.67,24,41.67,55.00,320x240,3v5
10833,7749,24,41.67,24,41.67,55.56,320x240,3v5
10859,7790,25,40.00,24,41.67,55.56,320x240,3v5
10885,7790,26,38.46,24,41.67,55.56,320x240,3v5
10907,7121,21,47.62,24,41.67,56.11,320x240,3v5
10933,8471,26,38.46,24,41.67,55.56,320x240,3v5
10955,7859,22,45.45,24,41.67,55.56,320x240,3v5
10977,7954,21,47.62,24,41.67,55.56,320x240,3v5
11008,7954,30,33.33,24,41.67,55.56,320x240,3v5
11059,7954,51,19.61,26,38.46,55.56,320x240,3v5
11082,8142,23,43.48,25,40.00,55.56,320x240,3v5
11139,8142,56,17.86,27,37.04,55.56,320x240,3v5
11166,6592,27,37.04,27,37.04,56.11,320x240,3v5
11192,8142,25,40.00,27,37.04,55.56,320x240,3v5
11217,7023,25,40.00,27,37.04,56.11,320x240,3v5
11243,8142,25,40.00,27,37.04,55.56,320x240,3v5
11268,8142,25,40.00,27,37.04,56.11,320x240,3v5
11295,8142,26,38.46,27,37.04,55.56,320x240,3v5
11317,8142,22,45.45,27,37.04,56.11,320x240,3v5
11348,6869,31,32.26,27,37.04,55.56,320x240,3v5
11372,7032,23,43.48,27,37.04,56.67,320x240,3v5
11399,8142,27,37.04,27,37.04,56.11,320x240,3v5
11449,6848,49,20.41,29,34.48,55.56,320x240,3v5
11475,8142,25,40.00,29,34.48,55.56,320x240,3v5
11499,7139,24,41.67,29,34.48,55.56,320x240,3v5
11525,8142,26,38.46,29,34.48,55.56,320x240,3v5
11556,8142,30,33.33,29,34.48,55.56,320x240,3v5
11578,8142,22,45.45,29,34.48,55.56,320x240,3v5
11608,7113,29,34.48,29,34.48,56.11,320x240,3v5
11643,8142,35,28.57,28,35.71,56.11,320x240,3v5
11680,8142,36,27.78,29,34.48,55.56,320x240,3v5
11722,6601,42,23.81,28,35.71,55.56,320x240,3v5
11771,8142,48,20.83,29,34.48,55.56,320x240,3v5
11796,6427,25,40.00,29,34.48,56.11,320x240,3v5
11842,8142,45,22.22,30,33.33,55.56,320x240,3v5
11895,6434,52,19.23,32,31.25,55.56,320x240,3v5
11944,6702,49,20.41,33,30.30,56.11,320x240,3v5
11991,7062,46,21.74,34,29.41,55.56,320x240,3v5
12028,7062,36,27.78,35,28.57,56.11,320x240,3v5
12077,8142,49,20.41,35,28.57,56.11,320x240,3v5
12112,6721,34,29.41,36,27.78,56.11,320x240,3v5
12136,8540,24,41.67,36,27.78,55.56,320x240,3v5
12190,7889,53,18.87,36,27.78,55.56,320x240,3v5
12252,6370,61,16.39,38,26.32,55.56,320x240,3v5
12318,6963,66,15.15,40,25.00,55.56,320x240,3v5
12411,6963,92,10.87,43,23.26,55.56,320x240,3v5
12566,6963,154,6.49,49,20.41,56.11,320x240,3v5
12637,6963,70,14.29,52,19.23,55.56,320x240,3v5
